"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
3.63557912119768	"CSat"	0.340684	0.0388389139909962	0.3394	0.114434042401285	8.7386583486521	26	0.0141074045032519	"Schwerin"	TRUE
3.51845846677564	"APse"	0.85457	0.0700058564433265	0.864908181818182	0.0809402176034021	12.3547975235239	27	0.0353869411723004	"Schwerin"	TRUE
3.50445226944713	"FExc"	0.522904	0.20274953335671	0.514091818181818	0.394383894444715	2.53560050013701	28	0.021652963580234	"Schwerin"	TRUE
3.4407273141339	"CBet"	0.597857	0.238436604080528	0.587123636363636	0.406109700432588	2.46238885437802	29	0.0247566969217829	"Schwerin"	TRUE
5.91164313584738	"AVir"	1.002448	0.0798638240097138	1.01073363636364	0.0790156982378104	12.6557130076904	0	0.0197438818808314	"Bern"	TRUE
5.66081750476897	"PMon"	2.483694	0.180717155426524	2.48204636363636	0.0728097420234172	13.7344258090954	1	0.0489180096764417	"Bern"	TRUE
5.59937170768693	"TBac"	1.676585	0.566165159582833	1.69270636363636	0.334473345020436	2.98977486513582	2	0.0330214596699018	"Bern"	TRUE
5.45088151904219	"AAlb"	1.1739	0.142972632021911	1.18285545454545	0.12087075514806	8.27329984639423	3	0.0231207433601623	"Bern"	TRUE
5.43859590321483	"PCem"	1.534324	0.116356939403169	1.52967454545455	0.0760664676998945	13.146397226506	4	0.0302195344027069	"Bern"	TRUE
5.12023310117073	"LDec"	1.523558	0.0718549107703724	1.52288727272727	0.0471833418383559	21.1939205880303	5	0.0300074908529876	"Bern"	TRUE
4.66257804432037	"BPen"	0.854415	0.044054876192808	0.855828181818182	0.0514763092975212	19.4264121427243	6	0.0168282732243573	"Bern"	TRUE
4.54173654409529	"QRob"	0.708041	0.0414274455140331	0.708392727272727	0.0584809017923242	17.0995995162861	7	0.0139453396792509	"Bern"	TRUE
4.54005779679717	"PAbi"	1.253362	0.0543622608065558	1.25507	0.0433141265479661	23.0871560781123	8	0.0246858004424395	"Bern"	TRUE
4.32814443523422	"PSyl"	1.502588	0.070015055679605	1.50400727272727	0.0465523385087388	21.4811979813276	9	0.0295944727183402	"Bern"	TRUE
4.25789614695819	"PNig"	2.717006	0.931325194305014	2.75619545454545	0.337902449105739	2.95943401016035	10	0.0535132451094822	"Bern"	TRUE
4.20036271601683	"AInc"	3.067391	1.05712796038477	3.12986454545455	0.337755179188194	2.9607243992632	11	0.0604143113521353	"Bern"	TRUE
4.13823208797057	"UGla"	0.015644	0.0120748994349285	0.0142218181818182	0.84904048698679	1.17780013477209	12	0.000308119012800391	"Bern"	FALSE
