"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"SAlb"	1.939571	24	3.90985874801175	0.000563747789161367	"Basel"	FALSE
"SAri"	25.639386	25	4.02463010421773	0.00745223926989777	"Basel"	TRUE
"SAuc"	9.854122	26	3.8505448569429	0.00286415887411514	"Basel"	TRUE
"TBac"	194.336933	6	5.59937170768693	0.0564851796253659	"Basel"	TRUE
"TCor"	193.121614	27	3.91611390270515	0.0561319399659898	"Basel"	TRUE
"TPla"	151.346169	28	4.10423678579605	0.0439896596576215	"Basel"	TRUE
"UGla"	111.480101	29	4.13823208797057	0.0324023510736322	"Basel"	TRUE
"AAlb"	75.526394	0	5.45088151904219	0.0188342440874498	"Schaffhausen"	TRUE
"ACam"	24.023362	7	3.70032665350851	0.00599077805447941	"Schaffhausen"	TRUE
"AGlu"	4.783154	10	4.08238233777311	0.00119278950275134	"Schaffhausen"	TRUE
"AInc"	8.626677	11	4.20036271601683	0.00215126039622107	"Schaffhausen"	TRUE
"APla"	88.991897	8	3.96011541644128	0.0221921770805473	"Schaffhausen"	TRUE
"APse"	161.174489	9	3.51845846677564	0.0401925672036717	"Schaffhausen"	TRUE
"AVir"	0.127463	12	5.91164313584738	3.1785831773176e-05	"Schaffhausen"	FALSE
"BPen"	86.509158	13	4.66257804432037	0.0215730489869774	"Schaffhausen"	TRUE
"CAve"	0.597456	16	3.86108071747658	0.000148989400122974	"Schaffhausen"	FALSE
"CBet"	100.421781	14	3.4407273141339	0.025042481639603	"Schaffhausen"	TRUE
"CSat"	323.498222	15	3.63557912119768	0.0806717248410405	"Schaffhausen"	TRUE
"FExc"	115.179387	18	3.50445226944713	0.0287226302450086	"Schaffhausen"	TRUE
"FSyl"	257.349938	17	3.84390347447605	0.0641761282576534	"Schaffhausen"	TRUE
"LDec"	413.13194	1	5.12023310117073	0.10302395475523	"Schaffhausen"	TRUE
"PAbi"	122.224227	2	4.54005779679717	0.030479423189698	"Schaffhausen"	TRUE
"PCem"	206.700259	3	5.43859590321483	0.0515454654295435	"Schaffhausen"	TRUE
"PMon"	93.804513	4	5.66081750476897	0.023392313610873	"Schaffhausen"	TRUE
"PNig"	6.052633	19	4.25789614695819	0.00150936330011669	"Schaffhausen"	TRUE
"PSyl"	252.495618	5	4.32814443523422	0.0629655918753843	"Schaffhausen"	TRUE
"PTre"	68.755363	20	3.96304498896519	0.0171457317168249	"Schaffhausen"	TRUE
"QPet"	331.105751	21	3.86628219362894	0.0825688372344688	"Schaffhausen"	TRUE
"QPub"	190.192463	22	4.08073778979974	0.0474288666785185	"Schaffhausen"	TRUE
"QRob"	294.573807	23	4.54173654409529	0.0734587564554891	"Schaffhausen"	TRUE
"SAlb"	7.280904	24	3.90985874801175	0.00181566093455077	"Schaffhausen"	TRUE
"SAri"	26.008247	25	4.02463010421773	0.00648575479831174	"Schaffhausen"	TRUE
"SAuc"	10.090317	26	3.8505448569429	0.00251625270627569	"Schaffhausen"	TRUE
"TBac"	247.854044	6	5.59937170768693	0.0618081086031661	"Schaffhausen"	TRUE
"TCor"	191.944548	27	3.91611390270515	0.0478657893859889	"Schaffhausen"	TRUE
"TPla"	171.741532	28	4.10423678579605	0.0428277025067629	"Schaffhausen"	TRUE
"UGla"	129.291544	29	4.13823208797057	0.0322418212914978	"Schaffhausen"	TRUE
"AAlb"	0.002507	0	5.45088151904219	3.72352471076998e-05	"Sion"	FALSE
"ACam"	0.480573	7	3.70032665350851	0.00713771615807285	"Sion"	TRUE
"AGlu"	0.022727	10	4.08238233777311	0.00033755303590614	"Sion"	FALSE
"AInc"	0.031197	11	4.20036271601683	0.000463353810936941	"Sion"	FALSE
"APla"	0.018819	8	3.96011541644128	0.000279509419752614	"Sion"	FALSE
"APse"	0.020727	9	3.51845846677564	0.000307848012286117	"Sion"	FALSE
"AVir"	0.000497	12	5.91164313584738	7.38169836957591e-06	"Sion"	FALSE
"BPen"	0.039427	13	4.66257804432037	0.000585589983133339	"Sion"	FALSE
"CAve"	0.119658	16	3.86108071747658	0.0017772218581624	"Sion"	TRUE
"CBet"	0.036469	14	3.4407273141339	0.000541656253199324	"Sion"	FALSE
"CSat"	2.585748	15	3.63557912119768	0.0384048527077146	"Sion"	TRUE
"FExc"	0.023785	18	3.50445226944713	0.000353266993401133	"Sion"	FALSE
"FSyl"	0.013368	17	3.84390347447605	0.000198548377876239	"Sion"	FALSE
"LDec"	0.111603	1	5.12023310117073	0.00165758487553276	"Sion"	TRUE
"PAbi"	0.035574	2	4.54005779679717	0.000528363255129363	"Sion"	FALSE
"PCem"	0.02674	3	5.43859590321483	0.000397156165799718	"Sion"	FALSE
"PMon"	22.075851	4	5.66081750476897	0.327881837693563	"Sion"	TRUE
"PNig"	0.022631	19	4.25789614695819	0.000336127194772379	"Sion"	FALSE
"PSyl"	25.304269	5	4.32814443523422	0.375831954166218	"Sion"	TRUE
"PTre"	0.110782	20	3.96304498896519	0.00164539096333674	"Sion"	TRUE
"QPet"	0.069508	21	3.86628219362894	0.00103236839089031	"Sion"	TRUE
"QPub"	4.562891	22	4.08073778979974	0.067770392465297	"Sion"	TRUE
"QRob"	9.870952	23	4.54173654409529	0.146608431156061	"Sion"	TRUE
"SAlb"	0.02062	24	3.90985874801175	0.000306258793522445	"Sion"	FALSE
"SAri"	0.387205	25	4.02463010421773	0.00575096683539566	"Sion"	TRUE
"SAuc"	0.449138	26	3.8505448569429	0.00667082744932512	"Sion"	TRUE
"TBac"	0.012649	6	5.59937170768693	0.00018786942188484	"Sion"	FALSE
"TCor"	0.828532	27	3.91611390270515	0.0123057813149728	"Sion"	TRUE
"TPla"	0.023345	28	4.10423678579605	0.000346731888204728	"Sion"	FALSE
"UGla"	0.020887	29	4.13823208797057	0.000310224414175718	"Sion"	FALSE
