"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"BPen"	0.00235	"Adelboden"	"random_6"	16	0.00127448226191858	FALSE
"CAve"	0.000165	"Adelboden"	"random_6"	16	8.94849247730066e-05	FALSE
"CBet"	0.089397	"Adelboden"	"random_6"	16	0.048482932242015	TRUE
"CSat"	0.000487	"Adelboden"	"random_6"	16	0.000264116111299722	FALSE
"PAbi"	1.55418	"Adelboden"	"random_6"	16	0.842882911416432	TRUE
"PCem"	0.000637	"Adelboden"	"random_6"	16	0.000345466042911547	FALSE
"PMon"	8.7e-05	"Adelboden"	"random_6"	16	4.7182960334858e-05	FALSE
"QPet"	0.071619	"Adelboden"	"random_6"	16	0.0388413383473816	TRUE
"SAuc"	0.000833	"Adelboden"	"random_6"	16	0.00045176328688433	FALSE
"TBac"	0.000857	"Adelboden"	"random_6"	16	0.000464779275942222	FALSE
"TPla"	0.000324	"Adelboden"	"random_6"	16	0.00017571585228154	FALSE
"UGla"	0.004759	"Adelboden"	"random_6"	16	0.00258096216360447	FALSE
"AAlb"	0.064234	"Adelboden"	"random_6"	17	0.0356516270904412	TRUE
"APla"	0.004838	"Adelboden"	"random_6"	17	0.00268522234118309	FALSE
"APse"	0.031406	"Adelboden"	"random_6"	17	0.0174311890961546	TRUE
"BPen"	0.013275	"Adelboden"	"random_6"	17	0.00736798813129505	TRUE
"CAve"	6.4e-05	"Adelboden"	"random_6"	17	3.55217506894827e-05	FALSE
"CBet"	0.084947	"Adelboden"	"random_6"	17	0.0471479086846795	TRUE
"CSat"	0.000347	"Adelboden"	"random_6"	17	0.000192594492019539	FALSE
"PAbi"	1.527335	"Adelboden"	"random_6"	17	0.847712704520642	TRUE
"PMon"	0.001116	"Adelboden"	"random_6"	17	0.000619410527647855	FALSE
"QPet"	0.068423	"Adelboden"	"random_6"	17	0.0379766366785387	TRUE
"SAuc"	8e-04	"Adelboden"	"random_6"	17	0.000444021883618534	FALSE
"TBac"	0.000855	"Adelboden"	"random_6"	17	0.000474548388117308	FALSE
